from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022005004136006,9022005004136002,1,,55700000063539484,55700000063579521
9022005000124003,9022005000124002,1,,55700000063539816,55700000063124335
9022005000126017,9022005000126005,1,,55700000063540144,55700000063112051
9022005000126017,9022005000126003,1,,55700000063540144,55700000063119691
9022005004136006,9022005004136002,1,,55700000063540144,55700000063152137
9022005000993004,9022005000993002,1,,55700000063540144,55700000064822839
9022005000126018,9022005000126003,1,,55700000063539358,55700000063119567
9022005000124003,9022005000124002,1,,55700000063539856,55700000063124799
9022005000126015,9022005000126005,1,,55700000064349437,55700000063111963
9022005004136006,9022005004136004,1,,55700000064349437,55700000063140284
9022005000993004,9022005000993002,1,,55700000064349437,55700000064823193
9022005004137006,9022005004137001,1,,55700000063539950,55700000063121877
9022005004136006,9022005004136004,1,,55700000063539950,55700000063140340
9022005000993004,9022005000993002,1,,55700000063539950,55700000064823081
9022005004136006,9022005004136003,1,,55700000063540343,55700000063144753
9022005004136006,9022005004136002,1,,55700000063540343,55700000063152433
9022005004136006,9022005004136002,1,,55700000063540343,55700000063152660
9022005000124003,9022005000124002,1,,55700000063539648,55700000063125223
9022005004136006,9022005004136004,1,,55700000063539648,55700000063140312
9022005004136006,9022005004136003,1,,55700000063539648,55700000063144321
9022005000993004,9022005000993002,1,,55700000063539648,55700000064823249
9022005000126015,9022005000126005,1,,55700000064349621,55700000063112913
9022005000126015,9022005000126002,1,,55700000064349621,55700000063233147
9022005000126015,9022005000126002,1,,55700000064349621,55700000063233210
9022005000126015,9022005000126005,1,,55700000064349621,55700000063112971
9022005004136006,9022005004136003,1,,55700000064349794,55700000063144262
9022005000993004,9022005000993002,1,,55700000064349794,55700000063175156
9022005000993004,9022005000993002,1,,55700000064349794,55700000063175533
9022005000124003,9022005000124002,1,,55700000065005117,55700000063124683
9022005000126017,9022005000126002,1,,55700000063063290,55700000063233828
9022005000993005,9022005000993002,1,,55700000063063290,55700000064824193
9022005000993005,9022005000993006,1,,55700000063064802,55700000063210412
9022005001000022,9022005001000020,1,,55700000063064802,55700000064615988
9022005000993005,9022005000993001,1,,55700000063064802,55700000064820061
9022005000993005,9022005000993002,1,,55700000063064802,55700000064824541
9022005001000022,9022005001000020,1,,55700000063065882,55700000064564884
9022005001000022,9022005001000020,1,,55700000063065882,55700000064630537
9022005001000022,9022005001000020,1,,55700000063065882,55700000064631568
9022005000993005,9022005000993002,1,,55700000063065882,55700000064825067
9022005001000022,9022005001000020,1,,55700000063066098,55700000064630695
9022005001000022,9022005001000020,1,,55700000063066098,55700000064631726
9022005000993005,9022005000993002,1,,55700000063066098,55700000064823959
9022005001000022,9022005001000020,1,,55700000063066962,55700000064570263
9022005001000022,9022005001000020,1,,55700000063066962,55700000064629265
9022005001000022,9022005001000020,1,,55700000063068264,55700000064564410
9022005001000022,9022005001000020,1,,55700000063068264,55700000064631248
9022005000993005,9022005000993002,1,,55700000063070446,55700000063175939
9022005000126018,9022005000126002,1,,55700000063070446,55700000063233584
9022005000126018,9022005000126002,1,,55700000063070446,55700000063233645
9022005000126018,9022005000126002,1,,55700000063070446,55700000063233889
9022005001000022,9022005001000020,1,,55700000063070446,55700000064944787
9022005000993005,9022005000993002,1,,55700000063071270,55700000064824251
9022005001000022,9022005001000020,1,,55700000063071918,55700000064617741
9022005000993005,9022005000993002,1,,55700000063071918,55700000064824835
9022005000993005,9022005000993002,1,,55700000063061954,55700000063176159
9022005000126016,9022005000126002,1,,55700000063061954,55700000063233147
9022005000126016,9022005000126002,1,,55700000063061954,55700000063233210
9022005004136005,9022005004136002,1,,55700000063061954,55700000063573573
9022005004136005,9022005004136002,1,,55700000063061954,55700000063573602
